artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,tempo_category_Moderate,tempo_category_Fast,tempo_category_Extremely Fast,track_genre_death-metal,track_genre_heavy-metal,track_genre_metal,track_genre_metalcore,key_category_key_scale_A#,key_category_key_scale_B,key_category_key_scale_C,key_category_key_scale_C#,key_category_key_scale_D,key_category_key_scale_D#,key_category_key_scale_E,key_category_key_scale_F,key_category_key_scale_F#,key_category_key_scale_G,key_category_key_scale_G#,tempo_category_plot,genre_for_plot,key_label
Cradle Of Filth,Lovecraft & Witch Hearts,Hallowed Be Thy Name,51,430733,0.428,0.972,2,-1.998,0.0666,7.16e-05,0.0736,0.0787,0.225,118.306,4,7.18,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Moderate,black-metal,key_scale_D
Make Them Suffer,Doomswitch,Doomswitch,58,275205,0.25,0.952,9,-4.059,0.209,2.45e-05,0.0135,0.0892,0.126,143.022,3,4.59,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Behemoth,I Loved You at Your Darkest,Bartzabel,47,301285,0.468,0.913,6,-5.67,0.072,0.0265,0.0769,0.0787,0.187,109.003,4,5.02,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Sadness,I Want to Be There,I Want to Be with You,41,355474,0.144,0.466,5,-6.715,0.0522,0.686,0.423,0.0764,0.0737,87.29,4,5.92,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Cradle Of Filth,Nymphetamine Special Edition,Nymphetamine Fix,54,302360,0.462,0.905,0,-3.825,0.0438,0.00066,0.0402,0.0839,0.253,122.925,3,5.04,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
ORM,Intet • Altet,Fra dyden,26,1478618,0.174,0.664,6,-12.485,0.0789,0.00128,0.264,0.0543,0.0371,127.958,3,24.64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Mayhem,Deathcrush,Deathcrush,51,212986,0.219,0.908,7,-8.505,0.1,1.92e-06,0.933,0.319,0.208,121.476,3,3.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Dissection,Reinkaos,Maha-Kali,40,366333,0.571,0.853,1,-4.733,0.0303,3.37e-05,0.126,0.0919,0.648,109.019,4,6.11,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Rotting Christ,Rituals,Devadevam,36,318248,0.387,0.809,2,-5.499,0.0526,5.03e-05,0.831,0.0832,0.0706,115.975,4,5.3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Moderate,black-metal,key_scale_D
Behemoth,The Satanist,O Father O Satan O Sun!,49,433440,0.261,0.92,1,-4.151,0.064,0.000382,2.78e-05,0.157,0.183,84.013,4,7.22,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Dimmu Borgir,Abrahadabra,Gateways,49,310026,0.172,0.943,10,-4.377,0.107,0.000224,0.000132,0.168,0.15,165.144,5,5.17,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A#
Behemoth,The Satanist,Blow Your Trumpets Gabriel,47,265440,0.175,0.945,6,-4.632,0.0832,0.000226,0.0056,0.285,0.169,118.282,4,4.42,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Avhath,FELO DE SE / HALLOWED GROUND,HALLOWED GROUND,31,170101,0.134,0.899,4,-6.426,0.0699,1.83e-05,0.9,0.23,0.118,90.559,4,2.84,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Alcest,Les voyages de l'âme,Autre temps,44,350320,0.24,0.548,1,-8.378,0.0325,0.00607,0.875,0.0941,0.128,127.337,4,5.84,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
Alcest,Souvenirs d'un autre monde,Souvenirs d'un autre monde,42,368626,0.354,0.704,6,-6.957,0.0438,0.00617,0.897,0.111,0.245,128.001,4,6.14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Rotting Christ,Kata Ton Daimona Eaytoy (Do What Thou Wilt),Χ Ξ Σ - 666,46,348053,0.39,0.758,3,-6.329,0.0312,0.00114,0.829,0.0978,0.0993,84.003,4,5.8,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Moderate,black-metal,key_scale_D#
Alcest,Spiritual Instinct,Sapphire,49,300503,0.402,0.76,8,-8.138,0.0386,1.05e-05,0.85,0.0791,0.199,74.999,4,5.01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Slow,black-metal,key_scale_G#
Mayhem,De Mysteriis Dom Sathanas,Freezing Moon,56,383053,0.168,0.974,4,-9.116,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,4,6.38,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Morbid Angel,Altars of Madness,Immortal Rites,48,243520,0.19,0.934,1,-7.796,0.056,8.08e-06,0.107,0.363,0.36,98.424,3,4.06,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Behemoth,Evangelion,Ov Fire and the Void,49,267320,0.471,0.973,1,-4.35,0.0806,2.29e-05,0.621,0.0243,0.152,130.034,4,4.46,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
End It,Unpleasant Living,Hatekeeper,31,61412,0.346,0.992,6,-4.339,0.204,0.00722,0.0,0.308,0.357,141.893,4,1.02,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Shemhamforash,Apophis,Apophis,47,428000,0.265,0.983,11,-7.109,0.139,5.64e-06,0.765,0.04,0.106,120.087,4,7.13,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
I AM,Eternal Steel,Manic Cure,26,206320,0.449,0.994,0,-2.41,0.125,0.000223,0.535,0.108,0.0992,119.98,3,3.44,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Dimmu Borgir,Puritanical Euphoric Misanthropia,Puritania,54,186488,0.303,0.969,8,-2.466,0.162,9.03e-05,0.844,0.417,0.163,109.384,5,3.11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Moderate,black-metal,key_scale_G#
Avhath,FELO DE SE / HALLOWED GROUND,FELO DE SE,25,366586,0.273,0.899,10,-6.02,0.185,7.5e-05,0.937,0.309,0.0369,142.966,4,6.11,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A#
I AM,Eternal Steel,Heaven on Earth,27,209346,0.185,0.937,5,-2.979,0.0799,8.28e-05,0.862,0.125,0.0599,80.13,4,3.49,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
